ID,Aktywny,Nazwa,Kategoria nadrzędna
20,1,Etui na tablet,Do tabletu
21,1,Ochrona ekranu tabletu,Do tabletu
22,1,Rysik do tabletu,Do tabletu
23,1,Stojak na tablet,Do tabletu
24,1,Uchwytna tablet,Do tabletu
20,1,Etui do smartwatcha,Do smartwatcha
21,1,Etui do smartwatcha,Do smartwatcha
22,1,Paski do smartwatcha,Do smartwatcha
23,1,Ładowarki i stacje dokujące,Do smartwatcha
20,1,Ochrona ekranu laptopa,Do laptopa
21,1,Etui na laptopa,Do laptopa
22,1,Pokrowiec na laptopa,Do laptopa
23,1,Plecak na laptopa,Do laptopa
24,1,Torba na laptopa,Do laptopa
25,1,Podstawka pod laptopa,Do laptopa
26,1,Stojak na laptopa,Do laptopa
27,1,Stacja dokująca / hub USB,Do laptopa
28,1,Karty sieciowe USB,Do laptopa
29,1,Zasilacz do laptopa,Do laptopa
30,1,Kable do laptopa,Do laptopa
31,1,Akcesoria do dysków,Do laptopa
20,1,Akcesoria do samochodów Tesli,Do samochodu
21,1,Uchwyt samochodowy do telefonu,Do samochodu
22,1,Szkła i folie samochodowe na nawigację,Do samochodu
23,1,Transmiter Bluetooth,Do samochodu
24,1,Ładowarka samochodowa,Do samochodu
25,1,Urządzenia rozruchowe,Do samochodu
26,1,Odkurzacz samochodowy,Do samochodu
27,1,"Alkomaty, alkotestery",Do samochodu
28,1,Krótki kabel do Apple CarPlay,Do samochodu
29,1,Krótki kabel do Android Auto,Do samochodu
30,1,Organizer do bagażnika,Do samochodu
31,1,Maty do bagażnika,Do samochodu
32,1,Poduszka do samochodu,Do samochodu
33,1,Etui na kluczyk samochodowy,Do samochodu
34,1,Akcesoria podróżne,Do samochodu
35,1,Zestaw głośnomówiący,Do samochodu
36,1,Etui na telefon,Do smartfona
37,1,"Szkło hartowane, folia na telefon",Do smartfona
38,1,Ładowarka do telefonu,Do smartfona
39,1,Uchwyt na telefon,Do smartfona
40,1,Statyw do telefonu,Do smartfona
41,1,Pad do telefonu,Do smartfona
42,1,"Obiektyw, teleskop do telefonu",Do smartfona
43,1,Rysik do telefonu,Do smartfona
